"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"6810",1,2010,288,35,19,10,"RestOfYear","RestOfYear","PM2","1"
"15360",0,2011,282,102,2,10,"RestOfYear","RestOfYear","MNight","2"
"3453",1,2010,146,315,22,5,"MayJun","MayJun2","PM2","4"
"20963",0,2012,223,307,4,8,"RestOfYear","RestOfYear","AM1","4"
"9028",0,2011,16,238,5,1,"RestOfYear","RestOfYear","AM1","4"
"24715",1,2013,140,41,9,5,"MayJun","MayJun1","AM2","1"
"20091",1,2012,185,228,20,7,"RestOfYear","RestOfYear","PM2","4"
"43618",0,2015,210,140,3,7,"RestOfYear","RestOfYear","AM1","3"
"6134",0,2010,259,244,15,9,"RestOfYear","RestOfYear","PM1","4"
"19175",0,2012,147,7,16,5,"MayJun","MayJun2","PM1","1"
"18076",0,2012,38,34,1,2,"RestOfYear","RestOfYear","MNight","1"
"20655",1,2012,210,21,8,7,"RestOfYear","RestOfYear","AM2","1"
"26903",0,2013,233,9,13,8,"RestOfYear","RestOfYear","MDay","1"
"4441",0,2010,189,149,2,7,"RestOfYear","RestOfYear","MNight","3"
"26966",0,2013,236,48,4,8,"RestOfYear","RestOfYear","AM1","2"
"35057",0,2014,212,150,8,7,"RestOfYear","RestOfYear","AM2","3"
"2844",0,2010,121,319,13,4,"MayJun","MayJun1","MDay","1"
"32056",1,2014,84,328,6,3,"RestOfYear","RestOfYear","AM1","1"
"1247",0,2010,53,150,23,2,"RestOfYear","RestOfYear","MNight","3"
"40390",0,2015,73,233,14,3,"RestOfYear","RestOfYear","MDay","4"
"20112",1,2012,186,116,17,7,"RestOfYear","RestOfYear","PM1","2"
"33846",0,2014,160,343,21,6,"MayJun","MayJun2","PM2","1"
"6874",0,2010,291,35,11,10,"RestOfYear","RestOfYear","MDay","1"
"7933",0,2010,335,161,14,12,"RestOfYear","RestOfYear","MDay","3"
"2269",0,2010,97,219,14,4,"RestOfYear","RestOfYear","MDay","3"
"40041",0,2015,59,147,1,2,"RestOfYear","RestOfYear","MNight","3"
"18466",0,2012,118,339,3,4,"RestOfYear","RestOfYear","AM1","1"
"17276",0,2012,4,246,17,1,"RestOfYear","RestOfYear","PM1","4"
"6260",1,2010,264,268,21,9,"RestOfYear","RestOfYear","PM2","4"
"4571",0,2010,194,311,12,7,"RestOfYear","RestOfYear","MDay","4"
"4703",1,2010,199,184,24,7,"RestOfYear","RestOfYear","MNight","3"
"46883",1,2015,347,77,4,12,"RestOfYear","RestOfYear","AM1","2"
"28230",1,2013,288,286,20,10,"RestOfYear","RestOfYear","PM2","4"
"23307",1,2012,321,173,20,11,"RestOfYear","RestOfYear","PM2","3"
"27591",1,2013,262,150,5,9,"RestOfYear","RestOfYear","AM1","3"
"39698",0,2015,44,332,18,2,"RestOfYear","RestOfYear","PM1","1"
"35877",0,2014,246,170,12,9,"RestOfYear","RestOfYear","MDay","3"
"3554",1,2010,151,20,3,5,"MayJun","MayJun2","AM1","1"
"31023",0,2014,41,233,5,2,"RestOfYear","RestOfYear","AM1","4"
"37098",1,2014,297,252,9,10,"RestOfYear","RestOfYear","AM2","4"
"34466",1,2014,187,313,17,7,"RestOfYear","RestOfYear","PM1","4"
"32274",0,2014,95,150,9,4,"RestOfYear","RestOfYear","AM2","3"
"20398",1,2012,199,108,15,7,"RestOfYear","RestOfYear","PM1","2"
"10682",0,2011,86,283,4,3,"RestOfYear","RestOfYear","AM1","4"
"40912",0,2015,95,237,9,4,"RestOfYear","RestOfYear","AM2","4"
"42542",0,2015,164,278,7,6,"MayJun","MayJun3","AM2","4"
"12825",1,2011,175,140,11,6,"MayJun","MayJun3","MDay","3"
"21657",1,2012,252,274,2,9,"RestOfYear","RestOfYear","MNight","4"
"16536",1,2011,338,42,21,12,"RestOfYear","RestOfYear","PM2","1"
"41011",0,2015,100,241,12,4,"RestOfYear","RestOfYear","MDay","4"
"44272",1,2015,237,27,9,8,"RestOfYear","RestOfYear","AM2","1"
"15136",0,2011,272,126,18,9,"RestOfYear","RestOfYear","PM1","2"
"6806",0,2010,288,256,15,10,"RestOfYear","RestOfYear","PM1","4"
"44223",0,2015,235,71,8,8,"RestOfYear","RestOfYear","AM2","2"
"31169",0,2014,47,169,7,2,"RestOfYear","RestOfYear","AM2","3"
"17922",0,2012,31,273,15,2,"RestOfYear","RestOfYear","PM1","4"
"32019",0,2014,82,359,17,3,"RestOfYear","RestOfYear","PM1","1"
"44022",0,2015,226,297,23,8,"RestOfYear","RestOfYear","MNight","4"
"40873",0,2015,93,176,18,4,"RestOfYear","RestOfYear","PM1","3"
"2426",0,2010,104,83,3,4,"RestOfYear","RestOfYear","AM1","2"
"38818",0,2015,8,354,2,1,"RestOfYear","RestOfYear","MNight","1"
