"","presence","year","julianday","tideangle_deg","mh","mon","Per2","Per4","Time6","Tide4"
"31458",0,2014,59,247,8,2,"RestOfYear","RestOfYear","AM2","4"
"14027",1,2011,226,356,13,8,"RestOfYear","RestOfYear","MDay","1"
"40551",0,2015,80,176,7,3,"RestOfYear","RestOfYear","AM2","3"
"40456",0,2015,76,299,8,3,"RestOfYear","RestOfYear","AM2","4"
"15894",1,2011,312,127,3,11,"RestOfYear","RestOfYear","AM1","2"
"13109",0,2011,188,75,7,7,"RestOfYear","RestOfYear","AM2","2"
"23797",0,2013,102,44,3,4,"RestOfYear","RestOfYear","AM1","1"
"6053",0,2010,256,73,6,9,"RestOfYear","RestOfYear","AM1","2"
"23445",0,2012,327,180,14,11,"RestOfYear","RestOfYear","MDay","3"
"34584",0,2014,192,103,15,7,"RestOfYear","RestOfYear","PM1","2"
"39770",0,2015,47,230,18,2,"RestOfYear","RestOfYear","PM1","4"
"43588",0,2015,208,354,21,7,"RestOfYear","RestOfYear","PM2","1"
"20502",0,2012,203,260,23,7,"RestOfYear","RestOfYear","MNight","4"
"15375",0,2011,282,170,17,10,"RestOfYear","RestOfYear","PM1","3"
"11131",0,2011,104,346,21,4,"RestOfYear","RestOfYear","PM2","1"
"18682",1,2012,127,87,3,5,"MayJun","MayJun1","AM1","2"
"37667",1,2014,321,183,2,11,"RestOfYear","RestOfYear","MNight","3"
"6633",0,2010,281,285,10,10,"RestOfYear","RestOfYear","AM2","4"
"17642",0,2012,19,52,23,1,"RestOfYear","RestOfYear","MNight","2"
"4874",0,2010,207,72,3,7,"RestOfYear","RestOfYear","AM1","2"
"21180",1,2012,232,110,5,8,"RestOfYear","RestOfYear","AM1","2"
"46442",0,2015,328,227,19,11,"RestOfYear","RestOfYear","PM2","4"
"44191",0,2015,233,225,24,8,"RestOfYear","RestOfYear","MNight","3"
"1871",0,2010,80,215,23,3,"RestOfYear","RestOfYear","MNight","3"
"23654",0,2013,96,195,4,4,"RestOfYear","RestOfYear","AM1","3"
"7289",0,2010,308,206,18,11,"RestOfYear","RestOfYear","PM1","3"
"13367",1,2011,199,311,1,7,"RestOfYear","RestOfYear","MNight","4"
"44983",0,2015,266,119,24,9,"RestOfYear","RestOfYear","MNight","2"
"24632",1,2013,136,165,22,5,"MayJun","MayJun1","PM2","3"
"42559",0,2015,164,51,24,6,"MayJun","MayJun3","MNight","2"
"12694",0,2011,169,273,24,6,"MayJun","MayJun3","MNight","4"
"41561",0,2015,123,296,10,5,"MayJun","MayJun1","AM2","4"
"635",0,2010,28,13,11,1,"RestOfYear","RestOfYear","MDay","1"
"8814",0,2011,7,137,7,1,"RestOfYear","RestOfYear","AM2","3"
"6532",0,2010,276,281,5,10,"RestOfYear","RestOfYear","AM1","4"
"2098",0,2010,90,289,11,3,"RestOfYear","RestOfYear","MDay","4"
"23621",0,2013,94,349,19,4,"RestOfYear","RestOfYear","PM2","1"
"35145",1,2014,215,203,24,8,"RestOfYear","RestOfYear","MNight","3"
"28394",0,2013,295,45,16,10,"RestOfYear","RestOfYear","PM1","1"
"1424",0,2010,62,171,8,3,"RestOfYear","RestOfYear","AM2","3"
"16521",0,2011,338,320,6,12,"RestOfYear","RestOfYear","AM1","1"
"35312",0,2014,222,309,23,8,"RestOfYear","RestOfYear","MNight","4"
"25367",0,2013,167,231,13,6,"MayJun","MayJun3","MDay","4"
"30799",0,2014,31,244,21,2,"RestOfYear","RestOfYear","PM2","4"
"5201",0,2010,220,202,18,8,"RestOfYear","RestOfYear","PM1","3"
"1728",0,2010,74,351,24,3,"RestOfYear","RestOfYear","MNight","1"
"9227",0,2011,24,248,12,1,"RestOfYear","RestOfYear","MDay","4"
"21414",0,2012,241,26,23,8,"RestOfYear","RestOfYear","MNight","1"
"11648",0,2011,126,236,10,5,"MayJun","MayJun1","AM2","4"
"40005",0,2015,57,208,13,2,"RestOfYear","RestOfYear","MDay","3"
"7853",1,2010,332,34,6,11,"RestOfYear","RestOfYear","AM1","1"
"9818",0,2011,50,60,3,2,"RestOfYear","RestOfYear","AM1","2"
"36227",0,2014,261,201,2,9,"RestOfYear","RestOfYear","MNight","3"
"34911",0,2014,206,192,6,7,"RestOfYear","RestOfYear","AM1","3"
"4360",0,2010,185,340,17,7,"RestOfYear","RestOfYear","PM1","1"
"44548",0,2015,248,102,21,9,"RestOfYear","RestOfYear","PM2","2"
"832",0,2010,36,333,16,2,"RestOfYear","RestOfYear","PM1","1"
"32497",0,2014,104,120,16,4,"RestOfYear","RestOfYear","PM1","2"
"16641",1,2011,343,198,6,12,"RestOfYear","RestOfYear","AM1","3"
"2133",0,2010,91,232,22,4,"RestOfYear","RestOfYear","PM2","4"
"24548",0,2013,133,229,10,5,"MayJun","MayJun1","AM2","4"
"3270",0,2010,139,92,7,5,"MayJun","MayJun1","AM2","2"
"36907",0,2014,289,119,10,10,"RestOfYear","RestOfYear","AM2","2"
"33011",0,2014,126,269,2,5,"MayJun","MayJun1","MNight","4"
"44260",0,2015,236,51,21,8,"RestOfYear","RestOfYear","PM2","2"
"2192",0,2010,94,156,9,4,"RestOfYear","RestOfYear","AM2","3"
"36867",0,2014,287,48,18,10,"RestOfYear","RestOfYear","PM1","2"
"45853",1,2015,304,94,6,10,"RestOfYear","RestOfYear","AM1","2"
"12842",0,2011,176,260,4,6,"MayJun","MayJun3","AM1","4"
"41539",0,2015,122,18,12,5,"MayJun","MayJun1","MDay","1"
"18877",0,2012,135,307,6,5,"MayJun","MayJun1","AM1","4"
"15108",0,2011,271,32,14,9,"RestOfYear","RestOfYear","MDay","1"
"40250",0,2015,67,113,18,3,"RestOfYear","RestOfYear","PM1","2"
"19366",0,2012,155,109,15,6,"MayJun","MayJun2","PM1","2"
"24001",0,2013,110,215,15,4,"RestOfYear","RestOfYear","PM1","3"
"17543",1,2012,15,99,20,1,"RestOfYear","RestOfYear","PM2","2"
"21815",0,2012,258,135,16,9,"RestOfYear","RestOfYear","PM1","2"
"1140",0,2010,49,269,12,2,"RestOfYear","RestOfYear","MDay","4"
"21133",0,2012,230,177,6,8,"RestOfYear","RestOfYear","AM1","3"
"26083",1,2013,197,104,9,7,"RestOfYear","RestOfYear","AM2","2"
"27502",0,2013,258,97,12,9,"RestOfYear","RestOfYear","MDay","2"
"37289",0,2014,305,35,8,11,"RestOfYear","RestOfYear","AM2","1"
"27493",0,2013,258,210,3,9,"RestOfYear","RestOfYear","AM1","3"
"15432",0,2011,285,51,2,10,"RestOfYear","RestOfYear","MNight","2"
"21920",1,2012,263,323,1,9,"RestOfYear","RestOfYear","MNight","1"
"11125",0,2011,104,181,15,4,"RestOfYear","RestOfYear","PM1","3"
"18337",1,2012,112,162,18,4,"RestOfYear","RestOfYear","PM1","3"
"40228",0,2015,66,188,20,3,"RestOfYear","RestOfYear","PM2","3"
"23100",1,2012,313,312,5,11,"RestOfYear","RestOfYear","AM1","4"
"21899",0,2012,262,73,4,9,"RestOfYear","RestOfYear","AM1","2"
"1240",0,2010,53,302,16,2,"RestOfYear","RestOfYear","PM1","4"
"42673",0,2015,169,119,18,6,"MayJun","MayJun3","PM1","2"
"21484",0,2012,244,244,21,9,"RestOfYear","RestOfYear","PM2","4"
"21584",0,2012,249,296,1,9,"RestOfYear","RestOfYear","MNight","4"
"32155",0,2014,88,283,9,3,"RestOfYear","RestOfYear","AM2","4"
"33066",1,2014,128,66,9,5,"MayJun","MayJun1","AM2","2"
"13323",0,2011,197,117,5,7,"RestOfYear","RestOfYear","AM1","2"
"20992",0,2012,224,67,9,8,"RestOfYear","RestOfYear","AM2","2"
"29296",1,2013,334,245,6,11,"RestOfYear","RestOfYear","AM1","4"
"17444",0,2012,11,93,17,1,"RestOfYear","RestOfYear","PM1","2"
"19351",1,2012,154,34,24,6,"MayJun","MayJun2","MNight","1"
"47155",0,2015,358,14,12,12,"RestOfYear","RestOfYear","MDay","1"
"9442",0,2011,33,324,11,2,"RestOfYear","RestOfYear","MDay","1"
"16166",0,2011,323,139,11,11,"RestOfYear","RestOfYear","MDay","3"
"15540",0,2011,289,341,14,10,"RestOfYear","RestOfYear","MDay","1"
"13343",0,2011,198,330,1,7,"RestOfYear","RestOfYear","MNight","1"
"6745",1,2010,286,304,2,10,"RestOfYear","RestOfYear","MNight","4"
"42759",1,2015,173,115,8,6,"MayJun","MayJun3","AM2","2"
"41889",0,2015,137,75,2,5,"MayJun","MayJun1","MNight","2"
"18754",0,2012,130,18,3,5,"MayJun","MayJun1","AM1","1"
"30255",1,2014,9,319,5,1,"RestOfYear","RestOfYear","AM1","1"
"32452",0,2014,102,245,19,4,"RestOfYear","RestOfYear","PM2","4"
"12257",0,2011,151,222,19,5,"MayJun","MayJun2","PM2","3"
"30720",0,2014,28,120,14,1,"RestOfYear","RestOfYear","MDay","2"
"14702",0,2011,254,111,16,9,"RestOfYear","RestOfYear","PM1","2"
"38932",0,2015,12,96,20,1,"RestOfYear","RestOfYear","PM2","2"
"37515",0,2014,314,97,18,11,"RestOfYear","RestOfYear","PM1","2"
"16279",0,2011,328,149,4,11,"RestOfYear","RestOfYear","AM1","3"
"43716",0,2015,214,103,5,8,"RestOfYear","RestOfYear","AM1","2"
"1497",0,2010,65,144,9,3,"RestOfYear","RestOfYear","AM2","3"
"39992",0,2015,56,194,24,2,"RestOfYear","RestOfYear","MNight","3"
"4751",1,2010,201,125,24,7,"RestOfYear","RestOfYear","MNight","2"
"12898",0,2011,178,85,12,6,"MayJun","MayJun3","MDay","2"
"43624",0,2015,210,312,9,7,"RestOfYear","RestOfYear","AM2","4"
"5932",0,2010,251,153,5,9,"RestOfYear","RestOfYear","AM1","3"
"9589",0,2011,39,309,14,2,"RestOfYear","RestOfYear","MDay","4"
"25421",0,2013,169,343,19,6,"MayJun","MayJun3","PM2","1"
"31156",0,2014,46,149,18,2,"RestOfYear","RestOfYear","PM1","3"
"8372",0,2010,353,289,21,12,"RestOfYear","RestOfYear","PM2","4"
"40142",0,2015,63,177,6,3,"RestOfYear","RestOfYear","AM1","3"
"10530",0,2011,79,185,19,3,"RestOfYear","RestOfYear","PM2","3"
"32901",1,2014,121,302,12,4,"MayJun","MayJun1","MDay","4"
"1156",0,2010,50,22,4,2,"RestOfYear","RestOfYear","AM1","1"
"25947",0,2013,191,91,17,7,"RestOfYear","RestOfYear","PM1","2"
"33772",0,2014,157,11,19,6,"MayJun","MayJun2","PM2","1"
"46926",1,2015,348,254,23,12,"RestOfYear","RestOfYear","MNight","4"
"22539",0,2012,288,244,20,10,"RestOfYear","RestOfYear","PM2","4"
"21325",1,2012,238,6,6,8,"RestOfYear","RestOfYear","AM1","1"
"33762",0,2014,157,90,9,6,"MayJun","MayJun2","AM2","2"
"40535",0,2015,79,81,15,3,"RestOfYear","RestOfYear","PM1","2"
"4343",0,2010,184,199,24,7,"RestOfYear","RestOfYear","MNight","3"
"25859",1,2013,188,39,1,7,"RestOfYear","RestOfYear","MNight","1"
"45850",0,2015,304,6,3,10,"RestOfYear","RestOfYear","AM1","1"
"39333",0,2015,29,156,13,1,"RestOfYear","RestOfYear","MDay","3"
"22283",1,2012,278,44,4,10,"RestOfYear","RestOfYear","AM1","1"
"43576",0,2015,208,10,9,7,"RestOfYear","RestOfYear","AM2","1"
"19450",0,2012,159,23,3,6,"MayJun","MayJun2","AM1","1"
"24172",0,2013,117,131,18,4,"RestOfYear","RestOfYear","PM1","2"
"40280",0,2015,68,274,24,3,"RestOfYear","RestOfYear","MNight","4"
"5004",1,2010,212,282,13,7,"RestOfYear","RestOfYear","MDay","4"
"34328",0,2014,180,264,23,6,"MayJun","MayJun3","MNight","4"
"9540",0,2011,37,311,13,2,"RestOfYear","RestOfYear","MDay","4"
"6629",0,2010,281,170,6,10,"RestOfYear","RestOfYear","AM1","3"
"41095",0,2015,103,125,24,4,"RestOfYear","RestOfYear","MNight","2"
"5267",1,2010,223,320,12,8,"RestOfYear","RestOfYear","MDay","1"
"10531",0,2011,79,215,20,3,"RestOfYear","RestOfYear","PM2","3"
"15578",0,2011,291,14,4,10,"RestOfYear","RestOfYear","AM1","1"
"19660",0,2012,167,335,21,6,"MayJun","MayJun3","PM2","1"
"15132",0,2011,272,11,14,9,"RestOfYear","RestOfYear","MDay","1"
"36667",0,2014,279,343,10,10,"RestOfYear","RestOfYear","AM2","1"
"32705",1,2014,113,48,8,4,"RestOfYear","RestOfYear","AM2","2"
"37157",1,2014,299,182,20,10,"RestOfYear","RestOfYear","PM2","3"
"27666",0,2013,265,176,8,9,"RestOfYear","RestOfYear","AM2","3"
"39122",1,2015,20,171,18,1,"RestOfYear","RestOfYear","PM1","3"
"590",0,2010,26,158,14,1,"RestOfYear","RestOfYear","MDay","3"
"15902",0,2011,312,357,11,11,"RestOfYear","RestOfYear","MDay","1"
"33254",0,2014,136,113,5,5,"MayJun","MayJun1","AM1","2"
"25500",1,2013,173,93,2,6,"MayJun","MayJun3","MNight","2"
"46119",0,2015,315,237,8,11,"RestOfYear","RestOfYear","AM2","4"
"16270",0,2011,327,241,19,11,"RestOfYear","RestOfYear","PM2","4"
"35537",0,2014,232,349,8,8,"RestOfYear","RestOfYear","AM2","1"
"862",0,2010,37,120,22,2,"RestOfYear","RestOfYear","PM2","2"
"15023",1,2011,268,91,1,9,"RestOfYear","RestOfYear","MNight","2"
"1302",0,2010,56,264,6,2,"RestOfYear","RestOfYear","AM1","4"
"39773",0,2015,47,314,21,2,"RestOfYear","RestOfYear","PM2","4"
"33083",0,2014,129,182,2,5,"MayJun","MayJun1","MNight","3"
"47331",0,2015,365,106,20,12,"RestOfYear","RestOfYear","PM2","2"
"36895",1,2014,288,141,22,10,"RestOfYear","RestOfYear","PM2","3"
"23836",0,2013,103,108,18,4,"RestOfYear","RestOfYear","PM1","2"
"45112",0,2015,272,237,9,9,"RestOfYear","RestOfYear","AM2","4"
"34243",0,2014,177,301,10,6,"MayJun","MayJun3","AM2","4"
"18914",1,2012,136,303,19,5,"MayJun","MayJun1","PM2","4"
"34903",1,2014,205,313,22,7,"RestOfYear","RestOfYear","PM2","4"
"35607",1,2014,235,202,6,8,"RestOfYear","RestOfYear","AM1","3"
"6330",0,2010,267,171,19,9,"RestOfYear","RestOfYear","PM2","3"
"28786",0,2013,311,261,24,11,"RestOfYear","RestOfYear","MNight","4"
"27602",1,2013,262,104,16,9,"RestOfYear","RestOfYear","PM1","2"
"42982",0,2015,182,90,15,6,"RestOfYear","RestOfYear","PM1","2"
"6038",0,2010,255,356,15,9,"RestOfYear","RestOfYear","PM1","1"
"27823",0,2013,271,62,21,9,"RestOfYear","RestOfYear","PM2","2"
"46565",0,2015,333,208,22,11,"RestOfYear","RestOfYear","PM2","3"
"34512",1,2014,189,194,15,7,"RestOfYear","RestOfYear","PM1","3"
"29539",0,2013,344,82,9,12,"RestOfYear","RestOfYear","AM2","2"
"12306",1,2011,153,213,20,6,"MayJun","MayJun2","PM2","3"
"5740",0,2010,243,37,5,8,"RestOfYear","RestOfYear","AM1","1"
"11844",0,2011,134,136,14,5,"MayJun","MayJun1","MDay","3"
"43702",0,2015,213,51,15,8,"RestOfYear","RestOfYear","PM1","2"
"17220",0,2012,2,75,9,1,"RestOfYear","RestOfYear","AM2","2"
"24773",1,2013,142,265,19,5,"MayJun","MayJun2","PM2","4"
"17524",1,2012,15,265,1,1,"RestOfYear","RestOfYear","MNight","4"
"45511",0,2015,289,286,24,10,"RestOfYear","RestOfYear","MNight","4"
"37524",0,2014,315,359,3,11,"RestOfYear","RestOfYear","AM1","1"
"33497",1,2014,146,277,8,5,"MayJun","MayJun2","AM2","4"
"42133",0,2015,147,318,6,5,"MayJun","MayJun2","AM1","1"
"9942",0,2011,55,74,7,2,"RestOfYear","RestOfYear","AM2","2"
"7578",1,2010,320,290,19,11,"RestOfYear","RestOfYear","PM2","4"
"4545",0,2010,193,277,10,7,"RestOfYear","RestOfYear","AM2","4"
"42126",0,2015,146,120,23,5,"MayJun","MayJun2","MNight","2"
"46828",0,2015,344,269,21,12,"RestOfYear","RestOfYear","PM2","4"
"28899",0,2013,316,248,17,11,"RestOfYear","RestOfYear","PM1","4"
"9808",0,2011,49,138,17,2,"RestOfYear","RestOfYear","PM1","3"
"9101",0,2011,19,184,6,1,"RestOfYear","RestOfYear","AM1","3"
"16293",0,2011,328,191,18,11,"RestOfYear","RestOfYear","PM1","3"
"24284",0,2013,122,139,10,5,"MayJun","MayJun1","AM2","3"
"1278",0,2010,55,308,6,2,"RestOfYear","RestOfYear","AM1","4"
"36233",0,2014,261,7,8,9,"RestOfYear","RestOfYear","AM2","1"
"20916",1,2012,221,24,5,8,"RestOfYear","RestOfYear","AM1","1"
"39154",0,2015,22,14,2,1,"RestOfYear","RestOfYear","MNight","1"
"2365",0,2010,101,103,14,4,"RestOfYear","RestOfYear","MDay","2"
"29138",0,2013,327,9,16,11,"RestOfYear","RestOfYear","PM1","1"
"8731",1,2011,3,238,20,1,"RestOfYear","RestOfYear","PM2","4"
"26033",0,2013,195,93,7,7,"RestOfYear","RestOfYear","AM2","2"
"39983",0,2015,56,293,15,2,"RestOfYear","RestOfYear","PM1","4"
"45842",0,2015,303,133,19,10,"RestOfYear","RestOfYear","PM2","2"
"731",0,2010,32,265,11,2,"RestOfYear","RestOfYear","MDay","4"
"9043",0,2011,16,300,20,1,"RestOfYear","RestOfYear","PM2","4"
"15158",0,2011,273,48,16,9,"RestOfYear","RestOfYear","PM1","2"
"5475",0,2010,232,209,4,8,"RestOfYear","RestOfYear","AM1","3"
"991",0,2010,43,209,7,2,"RestOfYear","RestOfYear","AM2","3"
"10637",1,2011,84,56,6,3,"RestOfYear","RestOfYear","AM1","2"
"33703",1,2014,154,171,22,6,"MayJun","MayJun2","PM2","3"
"45862",0,2015,304,356,15,10,"RestOfYear","RestOfYear","PM1","1"
"15284",0,2011,278,92,22,10,"RestOfYear","RestOfYear","PM2","2"
"19250",1,2012,150,13,19,5,"MayJun","MayJun2","PM2","1"
"21964",0,2012,264,167,21,9,"RestOfYear","RestOfYear","PM2","3"
"7463",1,2010,315,237,24,11,"RestOfYear","RestOfYear","MNight","4"
"39803",0,2015,49,98,3,2,"RestOfYear","RestOfYear","AM1","2"
"24375",0,2013,126,210,5,5,"MayJun","MayJun1","AM1","3"
"21533",0,2012,246,237,22,9,"RestOfYear","RestOfYear","PM2","4"
"37300",1,2014,305,3,19,11,"RestOfYear","RestOfYear","PM2","1"
"8324",0,2010,351,331,21,12,"RestOfYear","RestOfYear","PM2","1"
"16430",0,2011,334,203,11,11,"RestOfYear","RestOfYear","MDay","3"
"32639",0,2014,110,302,14,4,"RestOfYear","RestOfYear","MDay","4"
"13310",0,2011,196,93,16,7,"RestOfYear","RestOfYear","PM1","2"
"17259",0,2012,3,124,24,1,"RestOfYear","RestOfYear","MNight","2"
"6692",1,2010,283,202,21,10,"RestOfYear","RestOfYear","PM2","3"
"34747",0,2014,199,155,10,7,"RestOfYear","RestOfYear","AM2","3"
"25835",1,2013,187,57,1,7,"RestOfYear","RestOfYear","MNight","2"
"42626",0,2015,167,193,19,6,"MayJun","MayJun3","PM2","3"
"26539",0,2013,218,264,9,8,"RestOfYear","RestOfYear","AM2","4"
"38719",1,2015,3,339,23,1,"RestOfYear","RestOfYear","MNight","1"
"13094",0,2011,187,356,16,7,"RestOfYear","RestOfYear","PM1","1"
"46772",0,2015,342,76,13,12,"RestOfYear","RestOfYear","MDay","2"
"42954",1,2015,181,357,11,6,"RestOfYear","RestOfYear","MDay","1"
"33968",0,2014,165,277,23,6,"MayJun","MayJun3","MNight","4"
"44320",0,2015,239,323,9,8,"RestOfYear","RestOfYear","AM2","1"
"32340",0,2014,98,252,3,4,"RestOfYear","RestOfYear","AM1","4"
"1161",0,2010,50,167,9,2,"RestOfYear","RestOfYear","AM2","3"
"26626",0,2013,221,288,24,8,"RestOfYear","RestOfYear","MNight","4"
"40257",1,2015,68,318,1,3,"RestOfYear","RestOfYear","MNight","1"
"24406",0,2013,127,39,12,5,"MayJun","MayJun1","MDay","1"
"4687",0,2010,199,85,8,7,"RestOfYear","RestOfYear","AM2","2"
"6403",1,2010,270,157,20,9,"RestOfYear","RestOfYear","PM2","3"
"14798",0,2011,258,53,16,9,"RestOfYear","RestOfYear","PM1","2"
"17885",0,2012,30,283,2,2,"RestOfYear","RestOfYear","MNight","4"
"22862",0,2012,302,226,7,10,"RestOfYear","RestOfYear","AM2","4"
"36449",0,2014,270,178,8,9,"RestOfYear","RestOfYear","AM2","3"
"32842",1,2014,119,23,1,4,"RestOfYear","RestOfYear","MNight","1"
"21738",0,2012,255,75,11,9,"RestOfYear","RestOfYear","MDay","2"
"36717",0,2014,281,353,12,10,"RestOfYear","RestOfYear","MDay","1"
"3003",1,2010,128,231,4,5,"MayJun","MayJun1","AM1","4"
"37344",0,2014,307,157,15,11,"RestOfYear","RestOfYear","PM1","3"
"45374",0,2015,284,222,7,10,"RestOfYear","RestOfYear","AM2","3"
"24417",0,2013,127,353,23,5,"MayJun","MayJun1","MNight","1"
"19453",0,2012,159,109,6,6,"MayJun","MayJun2","AM1","2"
"10063",0,2011,60,275,8,2,"RestOfYear","RestOfYear","AM2","4"
"20038",0,2012,183,144,15,7,"RestOfYear","RestOfYear","PM1","3"
"15281",0,2011,278,9,19,10,"RestOfYear","RestOfYear","PM2","1"
"20848",0,2012,218,192,9,8,"RestOfYear","RestOfYear","AM2","3"
"8041",1,2010,340,47,2,12,"RestOfYear","RestOfYear","MNight","2"
"23147",0,2012,315,219,4,11,"RestOfYear","RestOfYear","AM1","3"
"23308",0,2012,321,202,21,11,"RestOfYear","RestOfYear","PM2","3"
"16289",0,2011,328,76,14,11,"RestOfYear","RestOfYear","MDay","2"
"4017",1,2010,170,131,10,6,"MayJun","MayJun3","AM2","2"
"5578",1,2010,236,313,11,8,"RestOfYear","RestOfYear","MDay","4"
"14121",1,2011,230,236,11,8,"RestOfYear","RestOfYear","MDay","4"
"43949",0,2015,223,332,22,8,"RestOfYear","RestOfYear","PM2","1"
"9118",0,2011,19,318,23,1,"RestOfYear","RestOfYear","MNight","1"
"10085",0,2011,61,197,6,3,"RestOfYear","RestOfYear","AM1","3"
"8303",0,2010,350,101,24,12,"RestOfYear","RestOfYear","MNight","2"
"10107",0,2011,62,121,4,3,"RestOfYear","RestOfYear","AM1","2"
"8668",0,2011,1,221,5,1,"RestOfYear","RestOfYear","AM1","3"
"21310",0,2012,237,295,15,8,"RestOfYear","RestOfYear","PM1","4"
"26876",1,2013,232,307,10,8,"RestOfYear","RestOfYear","AM2","4"
"46521",1,2015,332,8,2,11,"RestOfYear","RestOfYear","MNight","1"
"7312",0,2010,309,157,17,11,"RestOfYear","RestOfYear","PM1","3"
"4205",1,2010,179,131,6,6,"MayJun","MayJun3","AM1","2"
"37395",0,2014,309,195,18,11,"RestOfYear","RestOfYear","PM1","3"
"24276",1,2013,122,255,2,5,"MayJun","MayJun1","MNight","4"
"9114",0,2011,19,203,19,1,"RestOfYear","RestOfYear","PM2","3"
"7874",0,2010,333,280,3,11,"RestOfYear","RestOfYear","AM1","4"
"14999",0,2011,267,120,1,9,"RestOfYear","RestOfYear","MNight","2"
"16686",0,2011,345,73,3,12,"RestOfYear","RestOfYear","AM1","2"
"33686",1,2014,154,40,5,6,"MayJun","MayJun2","AM1","1"
"16357",0,2011,331,247,10,11,"RestOfYear","RestOfYear","AM2","4"
"23785",0,2013,101,55,15,4,"RestOfYear","RestOfYear","PM1","2"
"45847",0,2015,303,277,24,10,"RestOfYear","RestOfYear","MNight","4"
"33060",0,2014,128,241,3,5,"MayJun","MayJun1","AM1","4"
"42280",0,2015,153,265,9,6,"MayJun","MayJun2","AM2","4"
"9040",0,2011,16,216,17,1,"RestOfYear","RestOfYear","PM1","3"
"2283",1,2010,98,232,4,4,"RestOfYear","RestOfYear","AM1","4"
"21277",0,2012,236,60,6,8,"RestOfYear","RestOfYear","AM1","2"
"45207",0,2015,276,121,8,10,"RestOfYear","RestOfYear","AM2","2"
"14432",0,2011,243,244,10,8,"RestOfYear","RestOfYear","AM2","4"
"30917",1,2014,36,75,19,2,"RestOfYear","RestOfYear","PM2","2"
"26873",0,2013,232,222,7,8,"RestOfYear","RestOfYear","AM2","3"
"35252",0,2014,220,25,11,8,"RestOfYear","RestOfYear","MDay","1"
"13535",0,2011,206,171,1,7,"RestOfYear","RestOfYear","MNight","3"
"25958",1,2013,192,55,4,7,"RestOfYear","RestOfYear","AM1","2"
"30999",1,2014,40,277,5,2,"RestOfYear","RestOfYear","AM1","4"
"21344",1,2012,239,190,1,8,"RestOfYear","RestOfYear","MNight","3"
"44527",1,2015,247,213,24,9,"RestOfYear","RestOfYear","MNight","3"
"27266",0,2013,248,100,16,9,"RestOfYear","RestOfYear","PM1","2"
"36042",0,2014,253,235,9,9,"RestOfYear","RestOfYear","AM2","4"
"10244",0,2011,67,191,21,3,"RestOfYear","RestOfYear","PM2","3"
"46266",0,2015,321,210,11,11,"RestOfYear","RestOfYear","MDay","3"
"2948",1,2010,125,99,21,5,"MayJun","MayJun1","PM2","2"
"5629",0,2010,238,11,14,8,"RestOfYear","RestOfYear","MDay","1"
"19663",0,2012,167,60,24,6,"MayJun","MayJun3","MNight","2"
"2752",1,2010,117,163,17,4,"RestOfYear","RestOfYear","PM1","3"
"36201",1,2014,259,180,24,9,"RestOfYear","RestOfYear","MNight","3"
"19855",1,2012,175,264,24,6,"MayJun","MayJun3","MNight","4"
"32351",0,2014,98,217,14,4,"RestOfYear","RestOfYear","MDay","3"
"31096",0,2014,44,185,6,2,"RestOfYear","RestOfYear","AM1","3"
"16950",0,2011,356,160,3,12,"RestOfYear","RestOfYear","AM1","3"
"141",1,2010,7,103,21,1,"RestOfYear","RestOfYear","PM2","2"
"32585",0,2014,108,172,8,4,"RestOfYear","RestOfYear","AM2","3"
"31807",0,2014,73,284,21,3,"RestOfYear","RestOfYear","PM2","4"
"220",0,2010,11,202,4,1,"RestOfYear","RestOfYear","AM1","3"
"37615",1,2014,318,133,22,11,"RestOfYear","RestOfYear","PM2","2"
"8586",1,2010,362,38,19,12,"RestOfYear","RestOfYear","PM2","1"
"19864",0,2012,176,170,9,6,"MayJun","MayJun3","AM2","3"
"22153",1,2012,272,188,18,9,"RestOfYear","RestOfYear","PM1","3"
"12816",1,2011,175,228,2,6,"MayJun","MayJun3","MNight","4"
"20505",1,2012,204,347,2,7,"RestOfYear","RestOfYear","MNight","1"
"15564",0,2011,290,325,14,10,"RestOfYear","RestOfYear","MDay","1"
"26156",0,2013,201,0,10,7,"RestOfYear","RestOfYear","AM2","1"
"3435",0,2010,146,151,4,5,"MayJun","MayJun2","AM1","3"
"37921",1,2014,331,10,16,11,"RestOfYear","RestOfYear","PM1","1"
"14687",0,2011,254,41,1,9,"RestOfYear","RestOfYear","MNight","1"
"32437",0,2014,102,161,4,4,"RestOfYear","RestOfYear","AM1","3"
"32434",1,2014,102,75,1,4,"RestOfYear","RestOfYear","MNight","2"
"18624",0,2012,124,209,17,5,"MayJun","MayJun1","PM1","3"
"11971",0,2011,139,206,21,5,"MayJun","MayJun1","PM2","3"
"35666",0,2014,237,127,17,8,"RestOfYear","RestOfYear","PM1","2"
"32445",0,2014,102,46,12,4,"RestOfYear","RestOfYear","MDay","2"
"42214",0,2015,150,144,15,5,"MayJun","MayJun2","PM1","3"
"29506",0,2013,342,218,24,12,"RestOfYear","RestOfYear","MNight","3"
"35687",1,2014,238,26,14,8,"RestOfYear","RestOfYear","MDay","1"
"14567",0,2011,249,198,1,9,"RestOfYear","RestOfYear","MNight","3"
"37926",0,2014,331,153,21,11,"RestOfYear","RestOfYear","PM2","3"
"7959",0,2010,336,187,16,12,"RestOfYear","RestOfYear","PM1","3"
"25205",0,2013,160,176,19,6,"MayJun","MayJun2","PM2","3"
